Timestamp,1) What is your age in years?,2) What is your gender?,3) For which company you are currently working?,4) Which of the following disciplines best describes your job role?,5)In which country you are currently working?,"6) How long have you been working professionally, including your current job? Please enter number in years.",7)  How long have you analyzed the data? Please enter number in years.,8) What is the highest degree you have been completed?,9) What is your educational background. (required)*,10) Have you ever attend any workshop? Please specify the name.,11) Why you choose a Data Scientist job.(Motivation behind choosing data science),12) Please check all that apply. (required)*,"13)	Please rank your skills [Algorithms (ex: computational complexity, CS theory)]","13)	Please rank your skills [Back-End Programming (ex: JAVA/Rails/.NET)]","13)	Please rank your skills [Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)]","13)	Please rank your skills [Big and Distributed Data (ex: Hadoop, HBase, Cosmos, Map/Reduce)]","13)	Please rank your skills [Business (ex: management, business development, budgeting)]","13)	Please rank your skills [Classical Statistics (ex: general linear model, ANOVA)]","13)	Please rank your skills [Data Manipulation (ex: regexes, R, SAS, web scraping)]","13)	Please rank your skills [Front-End Programming (ex: JavaScript, HTML, CSS, ASP)]","13)	Please rank your skills [Graphical Models (ex: social networks, Bayes networks)]","13)	Please rank your skills [Machine Learning (ex: decision trees, neural nets, SVM, clustering)]","13)	Please rank your skills [Math (ex: linear algebra, real analysis, calculus)]","13)	Please rank your skills [Optimization (ex: linear, integer, convex, global)]","13)	Please rank your skills [Product Development (ex: design, project management)]","13)	Please rank your skills [Science (ex: experimental design, technical writing/publishing)]","13)	Please rank your skills [Simulation (ex: discrete, agent-based, continuous)]","13)	Please rank your skills [Spatial Statistics (ex: geographic covariates, GIS)]","13)	Please rank your skills [Structured Data (ex: SQL, JSON, XML)]","13)	Please rank your skills [Surveys and Marketing (ex: multinomial modeling)]","13)	Please rank your skills [Systems Administration (ex: *nix, DBA, cloud tech.)]","13)	Please rank your skills [Temporal Statistics (ex: forecasting, time-series analysis)]","13)	Please rank your skills [Unstructured Data (ex: noSQL, text mining)]","13)	Please rank your skills [Visualization (ex: statistical graphics, mapping, web-based viz)]","14.1)In week how many hours you spend on ""Query databases for existing data"".","14.2)In week how many hours you spend on  ""Build platforms to collect data and/or instrument code to gather data""","14.3)In week how many hours you spend on  ""Prepare data: manipulating the data to fit your analytic needs, e.g., data merging, cleaning, data shaping""","14.4)In week how many hours you spend on  ""Analyze data: statistics, machine learning, data mining, etc""","14.5)In week how many hours you spend on  ""Experiment: build capability and/or run experiments to test alternative designs""","14.6)In week how many hours you spend on  ""Validate insight: check that analysis results are correct""","14.7)In week how many hours you spend on  ""Disseminate insight: prepare presentations, write reports, create visualizations""","14.7)In week how many hours you spend on  ""Engage with others about data and analysis: attend meetings, brown bags, etc.""","14.8)In week how many hours you spend on  ""Operationalize insight: operationalize models, define automated actions, triggers based on models""","14.9)In week how many hours you spend on  ""Act on insight: make decision based on data""","14.10)In week how many hours you spend on  ""Other work activities related to data science""","14.11)In week how many hours you spend on  ""Other work activities not related to data science""","15)	Let us know if any important activity we miss in previous question [14].",16)  What tools do you use for your data science tasks?,17) What challenges do you frequently face when doing data science?,"18) How could your education background can help you in data science field?For example , i am with a computer science background and it will help in programming.","19) which sort of problem you face in your job with your educational background ?For example , i am Statistician and i face difficulty in programming.","20)Do you have access to the following data? [Business data (e.g., purchases, transactions)]","20)Do you have access to the following data? [Customer usage of the product (e.g., SQMdata, feature usage, game play data)]","20)Do you have access to the following data? [Execution behavior of the product (e.g.,crashes, performance data, load balancing)]","20)Do you have access to the following data? [Engineering data of the product (e.g., check-ins, work items, code reviews)]",21) Which of the following standard framework your teams use for gathering data? Check all that apply.,22) How we can improve this Survey?
2019/04/28 9:37:14 pm GMT+5,23,Male,Galaxy Backbone ,Data & Applied Science,Africa,1,1,Bachelor's degree (3 or 4 year university),Information and Communication Sciences,No,"There are loads of information in a pile of data, coupled with my inquisitive nature i chose data science ",I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,2,3,1,2,3,1,2,4,2,1,3,2,3,3,3,4,3,3,5,3,2,5,20,20,30,30,12,30,40,40,40,25,15,6,,Excel;Python,redundancy,i am with an information science background and it helps with identifying several forms of  data ,None for now,Yes,Yes,No,No,I don't know,
2019/04/28 9:43:45 pm GMT+5,36,Male,Yuriy Fedkovych Chernivtsi National University,Data & Applied Science,Ukraine,14,5,PhD (graduate degree),Mathematics or Applied Mathematics,No,No,I analyze product and customer data.;I build predictive models from the data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I manage one or more data scientists,5,1,5,2,4,5,4,1,5,5,5,5,1,5,5,5,4,2,1,5,4,5,2,1,2,4,4,1,2,0.2,2,1,1,0,,R;Matlab;Python,Choosing of the correct model and comparing difference models.,I can check all conclusions usinf math background,I face difficulty in web-programing,Yes,Don't Know,Yes,Don't Know,Windows Events;Azure Event Hub,
2019/04/29 12:27:28 am GMT+5,38,Male,Provincial Government ,Data & Applied Science,Canada,6,5,PhD (graduate degree),Mathematics or Applied Mathematics,"many, including a Statistics & Data Science at Fields Institute",Data science is a natural continuation of my expertise in mathematics.,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders;I manage one or more data scientists,5,5,5,3,3,5,4,2,1,5,5,5,3,5,5,2,4,3,1,5,4,4,3,2,7,7,4,5,3,5,2,1,2,0,,R;SQL;Python,Understanding the data and how data pieces map to real world practices,I am a mathematician specialised in optimization which is the base of all machine learning algorithms and statistics.,"The complex outcomes of the analyses are usually difficult to communicate, so I must spend a considerable amount of time on top of my usual working hours to think about proper communication methods.",Yes,No,Yes,Yes,Other:,Break the survey into multiple pages with each page focused in one of the main objectives of your survey. This helps participants to change their mindset in each step as mentally with each refresh of the page our perspective can be adequately changed as well.
2019/04/29 12:29:49 am GMT+5,43,Female,VerticalScope,Data & Applied Science,Canada,19,4,Bachelor's degree (3 or 4 year university),"Completed bachelor degree in mathematics and statistics, and currently in graduate programs of computer science as well as financial engineering","Seattle Code Writers, PyDX in Oregon, and PyLadies","I am a self-starter, avid learner, and passionate coder. Data Science interests me because it is a fertile ground where I can apply my synthesized knowledge in domain areas such as accounting, quantitative finance, financial machine learning, as well as efficient coding to contribute.

My specialty is finance / econometrics-related deep reinforcement learning. My focus is to develop a trading algorithm that combines both quant finance insights as well as AI technique, and is capable of automatically selecting trades, choosing strategies, and managing portfolio trades.",I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,4,5,3,2,5,5,4,1,3,5,5,4,1,4,5,4,4,1,1,5,4,4,15,5,20,15,2,5,2,3,5,2,5,10,,R;JMP;SQL;Python,Understanding and developing domain intuition and domain knowledge; use domain knowledge to engineer features that carry predictive power,I started out as an accountant and the intuition in accounting and finance guided me in the financial machine learning projects; my strong interest in quantitative finance as well as computer science background steered also steered me in the computation finance work.,"I am constantly dealing with difficulty in predicting either price, volume or trend in my work in the finance area.",Yes,Yes,Yes,Yes,Other:,
2019/04/29 12:31:10 am GMT+5,23,Male,Datanal Consult,Data & Applied Science,Africa,5,4,Bachelor's degree (3 or 4 year university),Statistics,Data analysis Training organized by Project Leap,Because I love figures. It's also my area of interest because of the statistics background that I have.,"I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I communicate results and insights to business leaders",3,4,5,4,3,5,4,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,10,7,15,8,8,6,10,8,5,6,15,5,,R;SPSS;Minitab;Excel,Missing data problem and inconsistency responses,I'm with a Statistics background and it will help in assumptions of statistical techniques,I'm statistician and I face problem in Simulation,Yes,No,Yes,No,I don't know,Let it be in different page.
2019/04/29 1:20:47 am GMT+5,31,Female,-,Software Engineering.,Europe,6,5,Master's Degree (graduate degree),Economics,-,I'd like to apply my Scala skills in Data Science.,I analyze product and customer data.;I build predictive models from the data,3,5,4,4,5,5,4,5,3,3,5,5,5,3,3,3,5,3,3,5,3,4,35,35,35,35,25,40,35,8,37,40,40,20,,SQL;Scala,Inventing various algorithms,"I have economic background, Bachelor's degree in Management of foreign economic activity and Master's degree in Management of Organizations. Additionally, I'm Oracle Certified Professional, Java SE 8 Programmer.",My economic background helps me building trading platform and online shopping web app on Scala.,Yes,No,No,Yes,I don't know,
2019/04/29 2:23:54 am GMT+5,42,Male,Xerox Brasil,Data & Applied Science,Brazil,23,15,Master's Degree (graduate degree),Computer Science,"Yeah Mysql, Oracle and Microsoft SQL Server","
To work with volume of data and statistical and mathematical models","I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I communicate results and insights to business leaders;I manage one or more data scientists",5,5,5,4,5,4,4,5,3,5,4,4,5,2,3,2,2,4,5,5,5,5,8,8,5,5,1,1,3,3,3,1,3,8,N/A,SQL;Excel,Build Models ,Yeah,Statistician Models ,Yes,Don't Know,Yes,Yes,Other:,i dont know
2019/04/29 6:33:12 am GMT+5,22,Male,Ritase.com,Data & Applied Science,Asia: Indonesia,3,1,Secondary school degree (high school) or less,Computer Science,Google Cloud OnBoard Jakarta,I want to change the world with data,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders,3,3,2,3,3,3,3,4,3,4,3,3,3,2,2,2,4,2,4,2,3,4,20,15,30,25,5,10,10,8,12,10,5,3,,"SQL;Excel;Office BI;Python;BigQuery, Airflow, DataStudio, Tableau",Cleansing the Data,"I'm with a computer science background and it really help me to know more about algebra and other formula to help me for build my model or cleansing the data, and visualization",I'm with a computer science background and i face difficulty on Sales,Yes,Yes,Don't Know,Yes,Other:,
2019/04/29 6:46:27 am GMT+5,39,Female,My own consulting company Ixstat.eu,Data & Applied Science,Europe,18,18,PhD (graduate degree),Statistics,See my personal website: biostatcode.org ,Since this is my passion ,"I analyze product and customer data.;I build predictive models from the data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I communicate results and insights to business leaders;I manage one or more data scientists",5,3,5,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,2,3,15,20,5,10,15,5,5,5,5,3,Every week is different but learning new methods or research is also part of my job,R;SPSS;Minitab;Python;Stata,Optimization and efficiency of the codes ,I have a master I mathematics so it helps ,Sometimes lack of medical knowledge especially in analyzing genetic data ,Yes,Yes,Yes,Yes,Azure Event Hub,Submitted 
2019/04/29 8:14:37 am GMT+5,47,Male,Freelance,Software Engineering.,Malaysia,5,3,Bachelor's degree (3 or 4 year university),Information Technology,Nil,To contribute my skills and knowledge ,I analyze product and customer data.;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis,1,4,1,1,4,1,4,4,4,1,1,1,4,4,1,1,4,1,4,1,1,4,10,20,1,1,1,1,1,1,1,1,1,1,Nil,SQL;Excel,Complex sql queries,I am with IT background which helps in coding.,I am with IT background and I face difficulty in presentation.,No,No,Yes,Yes,Other:,Nil
2019/04/29 8:17:24 am GMT+5,31,Male,okli private limited,Software Engineering.,Asia: India,8,3,Bachelor's degree (3 or 4 year university),Computer Science,work shop held at Symbiosis International (Deemed University) Pune,I am want innovate new idea to process big data efficient,"I analyze product and customer data.;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders",3,5,1,3,3,1,4,4,1,1,1,1,3,1,1,1,5,1,5,1,4,3,6,5,5,10,2,2,1,8,1,4,20,20,not sure,SQL;Excel;Python,it depends on the bug,I have 8 years of experience and from computer science background and good in mathematics from childhood so its helps me to easy debug bugs.,I face problem in statics part,Yes,Don't Know,Yes,Yes,Other:;I don't know,customized text box required if user don't find any option then he/she can write his/her own answers
2019/04/29 8:57:21 am GMT+5,47,Female,Kotak Life Insurance pvt ltd,Data & Applied Science,Asia: India,21,3,Master's Degree (graduate degree),Statistics,"yes, Python and Machine learning","Im good in analysis . Have passion to do analysis  on existing data and Human Psycology as well based on their signatures , voice etc",I build predictive models from the data,3,5,2,3,2,4,3,1,2,3,3,4,3,4,4,3,3,3,3,4,3,3,20,20,20,20,10,10,3,5,5,7,5,10,,"SQL;Excel;C, C++, C#;Python",Data cleaning and data modeling,Im statistical background and helps me in building models and doing experimental design and making inferences on data,As I have teaching experience in computer programing and have statistics background . some times it consumes time but try to solve at the end of day,Yes,Yes,Yes,Don't Know,Other:,I felt it  is good survey helped me to understand myself 
2019/04/29 9:19:26 am GMT+5,33,Male,Udacity,Other:,Brazil,7,2,Bachelor's degree (3 or 4 year university),Engineering,TDC,"Interesting work, new problems, challenging field.",I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,4,4,3,1,2,2,4,3,3,5,4,4,2,4,3,4,4,3,1,4,4,4,5,10,10,10,0,5,0,0,0,0,5,0,,R;Python,"Wrangling data, adjusting prediction model params.",Engineering helped to handle and develop complex systems.,"Engineer, have difficulty doing front-end and dealing with html.",No,No,No,No,I don't know,
2019/04/29 9:50:57 am GMT+5,23,Male,Freelancer,Software Engineering.,Asia: India,2,2,Bachelor's degree (3 or 4 year university),Engineering,No,It is the future of the world. Data Science is the field which can help the human race to make life easy and comfortable. I believe Innovation is the only way to win and data science is the way to achieve it.,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data,4,3,3,2,3,3,2,3,2,3,4,3,3,3,2,1,3,2,2,3,2,3,40,35,30,44,40,30,20,20,24,25,30,15,,"SQL;Excel;C, C++, C#;Python","Accuracy of results is rather challenging but not impossible because if we have persistence and determination, everything is possible.","Computer engineering helps me in algorithms, programming, statistics, mathematical modelling domains which are the pillars of data science.",Project investment and marketing  ,No,Yes,Don't Know,Yes,I don't know,"As per my opinion, to elect one as a data scientist you should set up a challenge by assigning some task or develop a computer program to solve live problems. I think this will help to choose right candidate with extreme knowledge."
2019/04/29 10:23:30 am GMT+5,30,Male,Boston Consulting Group,Software Engineering.,Asia: India,7,4,Bachelor's degree (3 or 4 year university),Engineering,Data Incubator,Mathematics interests me,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders;I manage one or more data scientists,3,4,3,1,2,4,4,4,4,4,4,4,3,2,2,2,4,3,3,4,3,3,5,8,8,5,5,4,4,4,3,4,2,8,"No, to best of my knowledge","R;SQL;Excel;C, C++, C#",Unstructured data,Coding is my strong area being a tech guy,Business decision making as I am a core technical person,Yes,No,Yes,Don't Know,Windows Events;Azure Event Hub,Every aspect was adequately covered
2019/04/29 11:26:18 am GMT+5,26,Male,no company.,Data & Applied Science,Asia: India,3,3,Bachelor's degree (3 or 4 year university),Computer Science,"I have not attended any workshop. But have done industrial training project on advanced java in west bengal, india.",I have chosen data scientist because I have expert relevant knowledge and data scientist is the most paying for job now and there will become more and more of job in this. Also data science is the important study that will eventually span around every type industry and companies in the coming years. ,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,5,3,5,5,4,5,5,3,5,5,3,5,5,5,3,5,5,5,3,5,5,5,6,3,3,6,6,5,3,2,3,3,2,1,"Each day for 30 minute I research on internet for the new advancements in data science and install and code on new emerging high performance python libraries and pre-trained models to get my knowledge updated on the recent 
tools and projects of data science.","SQL;Excel;Python;MongoDB, postgreSQL, sqlite, mysql, google colaboratory, kaggle kernel, udemy courses on machine learning and deep learning, google for internet research, search and learn github data science projects, github desktop, tensorflow, caffe, pytorch, high performance pre-trained models on nlp such as Google's state-of-the-art BERT model and on computer vision pre-trained models like mxnet.","GPU hardware resource, RAM, processor speed and datasets on new emerging data science projects or journals published on the internet.  ","I am with a computer science background, done python, NLP and computer vision courses with certificates on udemy, done free courses on machine learning and deep learning-  NLP and computer vision and these help me in building a better knowledge on data science programming in python, understand data science mathematics, concepts and journals. ",Nothing. ,Yes,Yes,Yes,Yes,Other:,By making an option for data science unique knowledge that differentiate individual data science professionals. 
2019/04/29 11:46:57 am GMT+5,48,Male,Individual Consultant,Data & Applied Science,Asia: India,27,4,Bachelor's degree (3 or 4 year university),Computer Science,Bayesian Networks in Bangalore,To make a difference in the world by analyzing & predicting data,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,3,1,2,1,4,3,4,2,2,5,2,2,5,3,2,1,3,2,1,3,3,2,0,0,15,10,5,5,5,0,0,0,0,0,,"R;Excel;C, C++, C#;Python",Organisations are not willing to share the data to be put in my SaaS servers.,"Computer Science: Programming, Logic, Algorithms, Methodologies.","I am a Computer Science Engineer, and I face problem with Data Visualization.",No,No,No,No,I don't know,
2019/04/29 12:27:08 pm GMT+5,28,Male,Pixel Federation,Data & Applied Science,Europe,4,4,Master's Degree (graduate degree),Mathematics or Applied Mathematics,coursera intro to R,I work for gaming company. I like math and games so for me it is a perfect combination.,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,1,1,3,2,1,4,3,1,1,2,4,2,1,3,3,1,4,1,1,2,1,3,2,0,20,5,0,5,10,4,0,1,4,8,,R;Excel;spark,"technical issues with our platform (zeppelin, spark)",I know math so I understand statistics better.,I only know basics in scala.,Yes,Yes,No,No,I don't know,
2019/04/29 12:41:15 pm GMT+5,23,Male,Still learning,Other:,Asia: India,1,1,Bachelor's degree (3 or 4 year university),Computer Science,Data science ,Because i have an interest in data science to analyze and visualization the data like playing a game so data science inspired me .,I analyze product and customer data.,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,2,3,2,5,1,3,1,1,1,1,1,No,R;SQL;Excel;Python,Some complex error correction,In many ways ,Maths based ,Yes,No,Yes,Yes,Windows Events,Its good only 
2019/04/29 1:42:15 pm GMT+5,28,Male,None,Data & Applied Science,Europe,1,1,Master's Degree (graduate degree),Computer Science,"Submitted ,None",Understanding the situation/environment and predicting the feature is everything except trying to reach them,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,5,2,3,2,3,4,5,3,4,5,5,5,4,3,3,1,4,2,3,5,4,5,1,2,20,5,3,3,3,0,0,3,0,0,0,SQL;Python,Cleaning data,"I am with a computer science and data science background and it will help in programming, statistics, data analysis, prediction, deep learning, nlp, reinforcement learning",I am data scientist and I face difficulty in reading research papers,Yes,Yes,Yes,No,Other:,Submitted
2019/04/29 4:45:25 pm GMT+5,25,Male,Fido Money Lending ,Other:,Africa,2,2,Bachelor's degree (3 or 4 year university),Physics Sciences,indabaxghana.,I love solving problems with mathematics and programming. I have passion finding insights in data.,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders,1,1,1,1,3,3,3,1,1,3,3,2,2,3,1,1,1,1,1,2,3,3,0,0,20,30,8,12,20,6,0,5,15,20,,R;Excel;Python,Cleaning the data and finding data from different sources. ,"I am with a physics background with focus in theoretical and computational physics and it will help me in programming, mathematics, probability and statistics.","I am a physics major and I face difficulty understanding the finance space, since am in a fintech institution. ",Yes,Yes,Yes,Yes,I don't know,
2019/04/29 7:26:09 pm GMT+5,25,Male,Stevens Institute of Technology,Data & Applied Science,United States,0.9,1.5,Master's Degree (graduate degree),Financial Engineerng,No,I love the idea of modeling data and generating actionable insights from a mass of numbers and letters.,I analyze product and customer data.;I build predictive models from the data,2,1,3,1,3,5,5,1,1,4,5,4,1,1,2,1,4,1,1,4,1,4,16,0,16,10,10,10,2,2,0,2,4,15,,R;SQL;Excel;Python,"Formatting and cleansing data, preparing it for further models",My major is Financial Engineering and it will help both in programming and maths.,I need more strength in programming.,Yes,No,No,No,I don't know,
2019/04/29 8:30:24 pm GMT+5,21,Male,"Studying in Habib University, Class of 2020",Data & Applied Science,Asia: Pakistan,2,2,Bachelor's degree (3 or 4 year university),Computer Science,"Data Science Intensive Studies Crtification, Stanford University, CA, USA",Interested in finding hidden patterns in solving different problems,I analyze product and customer data.;I build predictive models from the data;I communicate results and insights to business leaders;I manage one or more data scientists,4,2,4,2,3,4,3,3,4,5,5,5,3,5,5,4,4,4,3,4,4,4,5,5,3,4,4,4,3,3,3,3,3,5,n/A,"R;Matlab;SQL;Excel;C, C++, C#;Python",Quality datasets and hardware resources availability,In programming and visualization part,programming (hardcore) as i'm more of a theoritical person,Don't Know,Don't Know,Don't Know,Yes,Other:;I don't know,
2019/04/30 12:25:11 am GMT+5,24,Male,intercity pvt ltd,Data & Applied Science,Asia: Pakistan,2,1,Bachelor's degree (3 or 4 year university),Engineering,yes iot based,to do data analysts,"I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders;I manage one or more data scientists",3,1,2,1,1,3,3,2,2,3,4,4,3,2,3,2,2,2,2,3,2,3,5,4,5,4,4,4,5,5,5,5,4,4,5,"R;Matlab;Excel;C, C++, C#;Python",using software,with the programming background,i am electronics engineer i face that,Don't Know,No,Yes,Yes,Azure Event Hub,its good
2019/04/30 12:07:41 pm GMT+5,25,Male,Firhaj Footwear,Data & Applied Science,Asia: Pakistan,3,2,Bachelor's degree (3 or 4 year university),Computer Science,No,To Become the Data Scientist,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders;I manage one or more data scientists,4,3,1,5,5,1,3,4,3,3,5,5,5,5,1,1,3,2,4,1,2,2,18,6,6,3,3,3,3,3,1.5,1.5,1.5,3,,Matlab;SQL;Excel;Office BI;Oracle Database,Users Understanding,It is helping me a lot,Ad Hoc based problems,Yes,Yes,Yes,Yes,Windows Events;SQM;Other:,It's Enough
2019/04/30 1:12:56 pm GMT+5,22,Male,Fresh Graduate ,Data & Applied Science,Asia: Pakistan,0,1,Bachelor's degree (3 or 4 year university),Computer Science,At Quaid-e-Awam awam University,"In my academic years, I have done 5 major projects including my final year thesis project, which was Book Recommender System with sentiment Analysis. I have also developed Twitter sentiment analysis project and Book Analysis which are closely related to BDMA. I also joined various online courses to enhance my knowledge and practical skills. I have also good knowledge about Python, PowerBI and Minitab, Rapid Miner, Weka and other tools used to manipulate Big Data and Business Intelligence.","I analyze product and customer data.;I use big data cloud computing platforms (Cosmos, Dryad, MapReduce, AzureML) to analyze large data",3,3,2,2,2,3,3,3,2,2,3,3,2,3,1,1,3,1,1,1,1,3,5,7,10,5,4,7,5,3,2,5,3,8,,Minitab;Excel;Python,In cleaning data and preparing data,"In Computer Science statistics, Probability and Programming subjects help me. ","Iam programmer, I sometimes face problem in Mathematical equations",Don't Know,Yes,No,Yes,I don't know,
2019/05/01 5:57:57 am GMT+5,34,Male,Free Lancing Websites,Data & Applied Science,Asia: Pakistan,1,1,Bachelor's degree (3 or 4 year university),Engineering,NA,"After engineering, I went to sales field due to limited opportunites.Off and on, I worked in different companies. But I didn't find passion. Being an Engineer, you want to build things rather than selling. Finally due to unemployment, I switched to Python programming and then started my journey towards Data Science by completing three professional IBM specialization at Coursea Platform. This journey is still continued due to verstality of this field and keep increaing my kernels on Kaggle. (https://www.kaggle.com/hark99/kernels)   ",I analyze product and customer data.;I build predictive models from the data,4,1,3,1,3,4,4,1,1,4,4,4,4,4,4,4,4,2,1,4,4,4,0,5,5,10,3,3,5,1,2,2,1,0,,SQL;Python,"1. Network issues (Cloud)
2. Large Data processing speed 
3. Data Wrangling
4. Visualization
5. Model Algorithm
6. Model Accuracy ",Engieering is a versatile field and now I have done many certfications related to Data Sicence. Som I have a great combination to excel in this field ,"In Data Science, especially when you are working on Pandas, you mostly followed advanced level commands or Libraries. When it comes to complex situation like writing some additional python codes in your program, it takes time. This cause some irritation but eventually you managed it by try again and again.",No,No,No,No,I don't know,
2019/05/01 8:49:07 am GMT+5,23,Male,Cemtics,Data & Applied Science,Asia: India,3,3,Bachelor's degree (3 or 4 year university),Information technology and Mathematical Innovations,Media Basics,It is exciting for me to write complex logic and algorithms to extract information from data.,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I communicate results and insights to business leaders,2,2,3,1,5,5,5,2,3,5,5,4,2,4,1,4,1,2,1,5,2,4,0,0,10,10,10,5,5,5,0,0,5,0,,R;Excel;Office BI;Python,"Data complexity, writing optimised codes for computing large scale data ~ 10gb on 16 GB ram, figuring out the right algorithm for a task(this depends on data complexity to a high extent, and also on what end result we want to achieve).","I am fro IT bachground which will help in programming. I also had subjects like linear programming, probaility and statistics which are essential mathematical tools for a data scientist. Lastly, i had management and entrepreneurship as minor subjects. These help in developing solutions that are centric towards the end customer and his requirements.","I feel that data science is not only about algorithms but also about designing the solution. Being from a technical background, i believe that stronger design skills will help me become a better data scientist.",Yes,No,Don't Know,Don't Know,I don't know,
2019/05/01 3:11:13 pm GMT+5,32,Male,Lepards Courier Services Pvt Limited Pakistan,Data & Applied Science,Asia: Pakistan,9,7,Bachelor's degree (3 or 4 year university),Management Sciences (BBA Hons) 4 Years,One day training workshop with Ministry of Planning & productions Govt of Pakistan at Hazara University Mansehra Pakistan.,In my current job I am working for clients which huge number of their shipments moving by LCS and I am making data files on daily basis analyzing data and sorting thousands of transactions data files every business day and sharing with customers & clients via emails as well. I have strong knowledge of MS office programmes for this purpose. Thanks,I analyze product and customer data.;I build predictive models from the data;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,40,43,43,40,42,38,40,33,30,30,33,34,I have been export the data from different provided portals and sort out that for presentations at many times and also prepared smooth data files for clients & customers as well.,Excel,"Initially making data in Excel & MS word for me was a very difficult task but get help many times by seeing videos at Youtube. Now I have enough skills to prepare data analyse data and sortout different clients data also using formulas in Excel such as (Vlookup formula, concatenate, Sum up and some others.). ",At my university study programme we made many assignments and we prepared many presentations for classroom learning. that is the reason all these things helped me I learnt making data with very efficiency and with punctuality. ,I have not any knowledge about programming as my educational field is different . 2ndly I am not a data scientist I am working as data coordinator for LCS right now. Thanks,Yes,No,Yes,No,Other:,"There are many kinds of candidate in data managing, making & analyzing. Some for working and making data in MS Excel for huge numbers of Business Transactions or for monitoring. Some using any other sources for making data especially those candidates who has IT field educational background. I think in your this servery there should be clear that we required IT related data makers person or professional Data Analyst. "
2019/05/01 10:08:48 pm GMT+5,40,Male,Solera Inc,Software Engineering.,United States,16,5,Master's Degree (graduate degree),Computer Science,"YES, Lansa development workshop",New Challenge,I analyze product and customer data.;I build data engineering platforms to collect and process a large quantity of data;I add logging code or other instrumentation to a system to collect the data required for my analysis;I communicate results and insights to business leaders,4,4,1,1,3,2,4,5,3,1,5,3,5,3,3,2,5,3,4,2,3,4,20,20,20,8,2,2,2,16,10,8,8,8,UI design and implementation,"SQL;Excel;Angular, Lansa, PHP, nodejs, Java",Accuracy and security,My background stretches from Computer Professional to Engineering,Each problem becomes a new challenge and I love challenges,Yes,Yes,Yes,Yes,Other:,It looks pretty good t me
2019/05/01 11:54:13 pm GMT+5,24,Male,I am currently doing ms,Data & Applied Science,Asia: Pakistan,1,1,Bachelor's degree (3 or 4 year university),BS(Bioinformatics),no,"Data is a very wonderful science having many oppurtunities in pakistan or abroad . Being a Bioinformatician , the analysis of biological data is my hobby",I analyze product and customer data.,3,3,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,,R;Excel,I find it very easy,I am a bioinformatician and being and analysis of biological data is my hobby,I am weak in programming,Yes,Yes,Yes,Yes,Windows Events,no needs to improve
